sceneId,prevId,text,option1Txt,option1NextId,option2Txt,option2NextId,option3Txt,option3NextId,token,altNum
26,"20, 25","""Oh honey,"" you see a look of resignation in her so-very-human eyes, like she's had this conversation many times before. ""You've...passed on. This is the afterlife. Whatever happened on earth...has led you here.""",You don't know what to say,29,That makes sense,27,Freak out,28,,
27,26,"""You're handling it fantastically well, especially since you can't even see your body again yet!"" She smiles. ""That is the way back down there, but there's one step before you can take that path.""",,,I get to go back?,31,,,,
28,26,"""It's ok it's ok!"" People start to flock around you in an attempt to comfort and calm. ""Many of us reacted the same way! It's a lot to take in.""",You don't know what to say,29,,,Try to escape through the ring,22,,
29,"26, 28","""It's a lot, I'm very aware"" she smiles, sympathetic. ""Let me help you. You can't just jump into the pool, but you can look into the water, so to speak, and that's really the last step towards getting in there, simple as it sounds.""",,,Look?,31,,,,
30,"19, 21","Spirits breeze through your fingers without care, and you can see more clearly a range of emotions and movements represented in the shades.",Greet the people,19,,,Look into the centre of the rings,21,,
31,"27,29","""If you look into the pool, you'll see what you know as your former life. If you can face it and answer the questions it poses honestly, you'll be ready to embark on your next life on earth. If you can't, well you're kind of here until you can. The only alternative we've ever seen is stealing a feather from the crow to bypass the guardrails, but that's extremely risky, and we don't know what kind of life waits for you if you succeed. Well...what would you like to do?""",Look into the pool,32,,,Go after the crow feather.,45,,
32,31,"As you gaze into the ring, nothing happens at first. However, the longer you look, the more the surface seems to glisten and ripple. You see your face. You are:",img,33,img,34,img,35,,
33,32,"Of course, it seems so clear now. Your body instantly forms around you and you feel your full self again. ",,,Look deeper into the pool,36,,,,
34,32,"Yes, yes, you feel your body form around you, and you suddenly feel your full self again. ",,,Look deeper into the pool,36,,,,
35,32,"Yes, an animal of some kind, perhaps a cat or dog? Budgie or badger? ",,,input,36,,,,
36,"33, 34, 35","Your life rushes through you like a film projected into every molecule,  a cosmic zoetrope. If you could describe yourself in a few words, what would the be?",,,input,37,,,,
37,36,"Yes, of course, that makes sense. If you could change one thing, what would it be?",,,input ,38,,,,
38,37,"No creature has lived a perfect life, not even those who are enlightened. So in your next life, you need to?",,,input,39,,,,
39,38,"Sounds like you know who you are, where you've been, and where you're going.",,,I guess so...,40,,,,
40,39,So... are you ready to pass on?,It's time,43,,,No..I'm not sure I am,41,,
41,40,"You return to your senses, now in your former body, and are met with the onlookers, who seem to know exactly what your feeling, even though they ask ""What's on your mind?""","You change your mind: 'You know what, I think I'm ready to go back.'",43,,,I'm just not ready to go. I wish to stay here a while...,42,,
42,40,"You gaze into the pool, and on cue, the bird lands down on the fringe, seemingly less malicious now you know its purpose. You can't help feel a slight shudder, though, as a voice eminates 'what do you wish to do?' You reply 'inputTextHere'. The crow leans down to the skin of the water and gently touches it with it's beak. At once, light spreads across the surface, to the edges, across the people around you, and finally to you, as you fall, fall, fall, ready to start a new adventure.",,<>,,,,,,
43,42,"As you glance around the circle of people, you realise that they too have made this decision, that for whatever reason, they needed a break from the world of form and facts, evolution and destruction, meaning and absurdity. Without another word, you take a few steps on the surface of the smoke, gazing at the endless array of stars and spirits you will, at least for now, call home.",,<>,,,,,,
44,31,You are playing a game of chance from here on. Are you sure you want to continue?,"Yes, pursue the bird",45,,,"No, on second thought, I'm ready to find myself",31,,
45,44,"You launch into the darkness and above the rings, surveying for any sign of movement. Before long, you see the edge of a wing in the distance. You have two ways you can do this: try and sneak up on it or attack head on. With stealth, the bird is no stranger to these attempts, so it's likely it'll catch you, but, at the same time, you're without a body and therefore slightly less noticable. If you attack, it's extremely dangerous, but it will also be the last thing it expects. What do you do?",Attack,47&,,,Stealth,"50&, 46",,
46,45,"You duck and dive around its movements, and, against all odds, you are now on its back, gliding through space seemingly without any issue or recognition. You are a short pluck away from victory",,,Pluck the feather,"49&, 48",,,,
47,45,"You take the bird head on, no hesitation, no surrender. As you approach, you suppose you see a glimmer of fear in his eyes, but, as it rushes towards your face, you know now it is merely the glimmer of your soul about to dissappear into its belly.  You were too defiant, too willing to abandon yourself, and guardian has set it straight. Whatever happens to you now, it will be a long time before you see light again.",,<>,,,,,,
48,46,"Gently, gently, you wrangle a single feather loose. It sails above you like a flag, the bird none the wiser. Before you can change your mind, you're descending upon the ring. The bird notices and follows, but its too late. As the bristles on the feather approach the ring the darkness becomes light, and all dissappears into it. You open your eyes, and look around. You're in your old room, but it feels different. You look down.....still no body. You try to turn on the light, but no luck. You realise then, that it is those who truly cannot accept that one life is over that they are doomed to repeat its echo across time as a lonely ghost. Things could be worse, eh? You drift around your home, since, for now, there's nothing more to be done.",,<>,,,,,,
49,46,"As the feather pops out of the crow's skin, you immediately know you've been too heavy handed. Without hesitation, the great head of the bird rockets towards you and knocks you into space. You feel for a moment you might have been left to the void, but the wings do not relent, beating ever closer until your time is lost to the mouth of the creature. You were too defiant, too willing to abandon yourself, and guardian has set it straight. Whatever happens to you now, it will be a long time before you see light again.",,<>,,,,,,
50,46,"The attempt is valiant, but useless. The crow knows the spirit nature well and far to many restlest souls have attempted to pluck from its coat. Without a second thought, it dives to your location and picks you out of existence, like an earth crow would pick a berry from a tree.",,<>,,,,,,
51,18,"As you approach the sound, it sounds pointed, sharp, like something trying to frighten you. It's so loud it seems to rattle your soul with the vibrations. The last think you see is an almighty beak lower its maw over you and swallowing you down, tiny as a snowflake to its cavenous mouth.",,<>,,,,,,
52,//,///,///,///,,,,,,
53,,,,,,,,,,
